attention_size,32
num of filters,100
latent size,32
training time,20683.28161907196
embedding_id,32
dropout prob,0.3
rmse,0.7982174543025504
epochs,1
embedding dim,300
preds,"[[ 0.06863961]
 [ 0.07239524]
 [ 0.00232397]
 [ 0.03868691]
 [ 0.00783393]
 [ 0.01407416]
 [-0.01807505]
 [ 0.07272236]
 [ 0.05429885]
 [ 0.07634628]
 [-0.01361448]
 [ 0.01984922]
 [-0.0116001 ]
 [ 0.01057085]
 [-0.02503472]
 [ 0.02018903]
 [ 0.00459186]
 [-0.00932022]
 [-0.02375723]
 [ 0.01151101]
 [ 0.08574878]
 [ 0.08548707]
 [ 0.05326114]
 [ 0.07313519]
 [-0.00185215]
 [ 0.0284187 ]
 [ 0.01192569]
 [ 0.01560142]
 [ 0.07821549]
 [ 0.01029487]
 [ 0.06665369]
 [ 0.00259389]
 [ 0.07039358]
 [ 0.04995001]
 [ 0.07254406]
 [ 0.01846513]
 [ 0.00914515]
 [ 0.06896136]
 [ 0.04551474]
 [ 0.01286258]
 [ 0.02937131]
 [ 0.08359413]
 [-0.01723768]
 [ 0.06899913]
 [-0.00407826]
 [-0.00537849]
 [ 0.07994989]
 [-0.00646705]
 [ 0.06301077]
 [ 0.03718073]
 [ 0.0796762 ]
 [-0.00829096]
 [ 0.01740743]
 [ 0.01503297]
 [ 0.03476903]
 [ 0.02956789]
 [ 0.04601317]
 [-0.00850028]]"
mae,0.5912235602251742
filter sizes,3
batch size,100
model,attention
data,kindle
l2_reg,0.001
